fecha,tienda_id,producto_id,categoria,unidades_vendidas,temperatura_media,lluvia_mm,promocion_activa,descuento,impacto_evento,stock_actual
2024-01-13,T01,P011,Bazar,11,7.6,0,0,0.0,0.0,30
2024-01-13,T02,P009,Carne,25,6.6,11.3,0,0.0,0.0,47
2024-01-13,T03,P007,Fruta,19,10.1,0,0,0.0,0.0,31
2024-01-13,T04,P005,Panaderia,35,2.5,0,0,0.0,0.0,96
2024-01-13,T05,P003,Lacteos,53,8.0,0,0,0.0,0.0,60
2024-01-14,T01,P001,Bebidas,43,9.5,0,0,0.0,0.0,120
2024-01-14,T01,P011,Bazar,10,9.5,0,0,0.0,0.0,20
2024-01-14,T02,P009,Carne,25,3.7,0,0,0.0,0.0,65
2024-01-14,T03,P007,Fruta,27,10.9,0,0,0.0,0.0,75
2024-01-14,T04,P005,Panaderia,38,9.7,0,0,0.0,0.0,59
2024-01-14,T05,P003,Lacteos,45,9.1,0,0,0.0,0.0,89
2024-01-15,T01,P001,Bebidas,53,12.5,0,0,0.0,0.0,90
2024-01-15,T01,P011,Bazar,14,12.5,0,1,0.25,0.0,12
2024-01-15,T02,P009,Carne,20,7.4,0,0,0.0,0.0,42
2024-01-15,T03,P007,Fruta,24,11.4,0,0,0.0,0.0,52
2024-01-15,T04,P005,Panaderia,41,5.9,0,0,0.0,0.0,87
2024-01-15,T05,P003,Lacteos,47,7.9,10.6,0,0.0,0.0,81
2024-01-16,T01,P001,Bebidas,44,12.8,0,0,0.0,0.0,37
2024-01-16,T01,P011,Bazar,10,12.8,0,0,0.0,0.0,23
2024-01-16,T02,P009,Carne,22,8.2,0,0,0.0,0.0,33
2024-01-16,T03,P007,Fruta,31,10.8,0,0,0.0,0.0,32
2024-01-16,T04,P005,Panaderia,36,5.5,0,0,0.0,0.0,78
2024-01-16,T05,P003,Lacteos,38,5.8,0,0,0.0,0.0,101
2024-01-17,T01,P001,Bebidas,66,12.8,0,0,0.0,0.0,76
2024-01-17,T01,P011,Bazar,8,12.8,0,0,0.0,0.0,14
2024-01-17,T02,P009,Carne,32,10.5,0,0,0.0,0.0,60
2024-01-17,T03,P007,Fruta,36,13.2,3.8,1,0.1,0.0,56
2024-01-17,T04,P005,Panaderia,31,3.0,0,0,0.0,0.0,66
2024-01-17,T05,P003,Lacteos,65,11.6,0,1,0.25,0.0,132
2024-01-18,T01,P001,Bebidas,63,10.3,4.1,1,0.1,0.0,106
2024-01-18,T01,P011,Bazar,11,10.3,4.1,0,0.0,0.0,29
2024-01-18,T02,P009,Carne,23,7.5,0,0,0.0,0.0,29
2024-01-18,T03,P007,Fruta,34,13.3,12.9,0,0.0,0.0,81
2024-01-18,T04,P005,Panaderia,22,5.1,13.1,0,0.0,0.0,44
2024-01-18,T05,P003,Lacteos,42,7.4,0,0,0.0,0.0,89
2024-01-19,T01,P001,Bebidas,59,7.2,0,0,0.0,0.0,61
2024-01-19,T01,P011,Bazar,12,7.2,0,0,0.0,0.0,32
2024-01-19,T02,P009,Carne,35,7.2,0,0,0.0,0.0,40
2024-01-19,T03,P007,Fruta,44,7.4,0,1,0.15,0.0,77
2024-01-19,T04,P005,Panaderia,47,2.3,0,0,0.0,0.0,45
2024-01-19,T05,P003,Lacteos,49,8.7,12.0,0,0.0,0.0,92
2024-01-20,T01,P001,Bebidas,64,13.5,10.0,0,0.0,0.147,125
2024-01-20,T01,P011,Bazar,11,13.5,10.0,0,0.0,0.147,9
2024-01-20,T02,P009,Carne,26,8.5,0,0,0.0,0.0,37
2024-01-20,T03,P007,Fruta,31,9.7,0,0,0.0,0.0,86
2024-01-20,T04,P005,Panaderia,30,7.9,0,0,0.0,0.0,64
2024-01-20,T05,P003,Lacteos,60,8.6,0,0,0.0,0.0,87
2024-01-21,T01,P001,Bebidas,53,5.7,0,0,0.0,0.0,62
2024-01-21,T01,P011,Bazar,8,5.7,0,0,0.0,0.0,15
2024-01-21,T02,P009,Carne,35,7.7,0,1,0.2,0.0,41
2024-01-21,T03,P007,Fruta,24,8.1,0,0,0.0,0.0,27
2024-01-21,T04,P005,Panaderia,37,4.8,0,0,0.0,0.0,42
2024-01-21,T05,P003,Lacteos,37,12.3,0,0,0.0,0.0,54
2024-01-22,T01,P001,Bebidas,57,10.0,0,0,0.0,0.0,66
2024-01-22,T01,P011,Bazar,6,10.0,0,0,0.0,0.0,14
2024-01-22,T02,P009,Carne,24,7.5,0,0,0.0,0.0,52
2024-01-22,T03,P007,Fruta,28,11.8,0,0,0.0,0.0,39
2024-01-22,T04,P005,Panaderia,35,7.8,0,0,0.0,0.0,47
2024-01-22,T05,P003,Lacteos,52,11.0,0,1,0.1,0.0,103
2024-01-23,T01,P001,Bebidas,61,12.8,0,0,0.0,0.0,153
2024-01-23,T01,P011,Bazar,11,12.8,0,0,0.0,0.0,25
2024-01-23,T02,P009,Carne,26,9.1,0,0,0.0,0.0,67
2024-01-23,T03,P007,Fruta,30,9.7,0,0,0.0,0.0,59
2024-01-23,T04,P005,Panaderia,35,7.6,0,0,0.0,0.0,81
2024-01-23,T05,P003,Lacteos,50,10.1,0,0,0.0,0.0,101
2024-01-24,T01,P001,Bebidas,62,11.9,8.9,0,0.0,0.0,76
2024-01-24,T01,P011,Bazar,11,11.9,8.9,0,0.0,0.0,15
2024-01-24,T02,P009,Carne,17,9.5,0,0,0.0,0.0,34
2024-01-24,T03,P007,Fruta,27,15.6,17.5,0,0.0,0.0,30
2024-01-24,T04,P005,Panaderia,34,3.7,0,0,0.0,0.0,55
2024-01-24,T05,P003,Lacteos,47,7.0,7.8,0,0.0,0.0,124
2024-01-25,T01,P001,Bebidas,59,11.4,0,0,0.0,0.0,84
2024-01-25,T01,P011,Bazar,10,11.4,0,0,0.0,0.0,23
2024-01-25,T02,P009,Carne,28,6.8,2.3,0,0.0,0.0,63
2024-01-25,T03,P007,Fruta,37,11.9,0,1,0.15,0.0,48
2024-01-25,T04,P005,Panaderia,34,7.2,0,0,0.0,0.0,71
2024-01-25,T05,P003,Lacteos,52,7.4,0,0,0.0,0.0,135
2024-01-26,T01,P001,Bebidas,63,12.3,0,0,0.0,0.0,173
2024-01-26,T01,P011,Bazar,9,12.3,0,0,0.0,0.0,20
2024-01-26,T02,P009,Carne,35,13.0,0,0,0.0,0.0,69
2024-01-26,T03,P007,Fruta,34,11.6,0,0,0.0,0.0,47
2024-01-26,T04,P005,Panaderia,48,6.3,11.9,0,0.0,0.0,92
2024-01-26,T05,P003,Lacteos,32,8.2,0,0,0.0,0.0,65
2024-01-27,T01,P001,Bebidas,65,11.1,0,0,0.0,0.0,137
2024-01-27,T01,P011,Bazar,10,11.1,0,0,0.0,0.0,11
2024-01-27,T02,P009,Carne,30,4.7,0,0,0.0,0.0,73
2024-01-27,T03,P007,Fruta,24,11.8,0,0,0.0,0.0,32
2024-01-27,T04,P005,Panaderia,48,3.9,0,0,0.0,0.0,51
2024-01-27,T05,P003,Lacteos,57,7.6,0,0,0.0,0.0,159
2024-01-28,T01,P001,Bebidas,78,8.3,0,0,0.0,0.0,217
2024-01-28,T01,P011,Bazar,10,8.3,0,0,0.0,0.0,21
2024-01-28,T02,P009,Carne,23,10.9,0,0,0.0,0.0,62
2024-01-28,T03,P007,Fruta,21,7.4,0,0,0.0,0.0,34
2024-01-28,T04,P005,Panaderia,29,3.6,0,0,0.0,0.0,58
2024-01-28,T05,P003,Lacteos,36,8.0,0,0,0.0,0.0,73
2024-01-29,T01,P001,Bebidas,57,11.5,0,0,0.0,0.0,139
2024-01-29,T01,P011,Bazar,9,11.5,0,0,0.0,0.0,8
2024-01-29,T02,P009,Carne,23,11.0,0,0,0.0,0.0,37
2024-01-29,T03,P007,Fruta,30,6.1,0,0,0.0,0.0,69
2024-01-29,T04,P005,Panaderia,40,9.3,0,0,0.0,0.0,58
2024-01-29,T05,P003,Lacteos,42,5.0,14.2,0,0.0,0.0,34
2024-01-30,T01,P001,Bebidas,63,11.9,0,0,0.0,0.0,93
2024-01-30,T01,P011,Bazar,10,11.9,0,0,0.0,0.0,13
2024-01-30,T02,P009,Carne,27,10.2,11.9,0,0.0,0.0,35
2024-01-30,T03,P007,Fruta,27,12.4,10.8,0,0.0,0.0,29
2024-01-30,T04,P005,Panaderia,38,6.0,0,0,0.0,0.0,59
2024-01-30,T05,P003,Lacteos,55,12.8,0,0,0.0,0.0,89
2024-01-31,T01,P001,Bebidas,45,6.9,0,0,0.0,0.0,124
2024-01-31,T01,P011,Bazar,10,6.9,0,0,0.0,0.0,23
2024-01-31,T02,P009,Carne,23,8.1,0,0,0.0,0.0,54
2024-01-31,T03,P007,Fruta,35,11.0,12.9,0,0.0,0.0,44
2024-01-31,T04,P005,Panaderia,30,0.4,0,0,0.0,0.0,73
2024-01-31,T05,P003,Lacteos,47,7.6,0,0,0.0,0.0,117
2024-02-01,T01,P001,Bebidas,63,15.5,0,0,0.0,0.0,60
2024-02-01,T01,P011,Bazar,9,15.5,0,0,0.0,0.0,24
2024-02-01,T02,P009,Carne,26,13.7,0,0,0.0,0.0,50
2024-02-01,T03,P007,Fruta,33,16.9,0,0,0.0,0.0,48
2024-02-01,T04,P005,Panaderia,31,11.0,3.6,0,0.0,0.0,40
2024-02-01,T05,P003,Lacteos,50,11.4,10.1,0,0.0,0.0,44
2024-02-02,T01,P001,Bebidas,59,15.1,0,0,0.0,0.0,51
2024-02-02,T01,P011,Bazar,11,15.1,0,0,0.0,0.0,30
2024-02-02,T02,P009,Carne,30,14.5,0,0,0.0,0.0,72
2024-02-02,T03,P007,Fruta,28,12.6,15.9,0,0.0,0.0,37
2024-02-02,T04,P005,Panaderia,40,7.1,0,0,0.0,0.0,59
2024-02-02,T05,P003,Lacteos,66,17.9,0,0,0.0,0.0,160
2024-02-03,T01,P001,Bebidas,60,18.9,0,0,0.0,0.0,118
2024-02-03,T01,P011,Bazar,10,18.9,0,0,0.0,0.0,10
2024-02-03,T02,P009,Carne,30,15.7,6.3,0,0.0,0.0,80
2024-02-03,T03,P007,Fruta,36,12.7,0,0,0.0,0.209,78
2024-02-03,T04,P005,Panaderia,48,11.0,0,0,0.0,0.0,121
2024-02-03,T05,P003,Lacteos,56,11.9,0,0,0.0,0.0,143
2024-02-04,T01,P001,Bebidas,59,13.9,0,0,0.0,0.0,158
2024-02-04,T01,P011,Bazar,9,13.9,0,0,0.0,0.0,11
2024-02-04,T02,P009,Carne,25,6.2,0,0,0.0,0.0,26
2024-02-04,T03,P007,Fruta,39,13.9,0,1,0.25,0.0,64
2024-02-04,T04,P005,Panaderia,36,10.3,13.1,0,0.0,0.0,71
2024-02-04,T05,P003,Lacteos,51,12.8,0,0,0.0,0.0,72
2024-02-05,T01,P001,Bebidas,47,14.9,0,0,0.0,0.0,121
2024-02-05,T01,P011,Bazar,11,14.9,0,0,0.0,0.0,14
2024-02-05,T02,P009,Carne,25,16.4,0,0,0.0,0.0,21
2024-02-05,T03,P007,Fruta,27,15.8,4.7,0,0.0,0.0,74
2024-02-05,T04,P005,Panaderia,29,8.0,0,0,0.0,0.0,53
2024-02-05,T05,P003,Lacteos,40,17.2,0,0,0.0,0.0,41
2024-02-06,T01,P001,Bebidas,68,16.6,0,1,0.2,0.0,158
2024-02-06,T01,P011,Bazar,12,16.6,0,0,0.0,0.0,30
2024-02-06,T02,P009,Carne,26,12.4,0,0,0.0,0.0,52
2024-02-06,T03,P007,Fruta,28,14.8,0,0,0.0,0.0,74
2024-02-06,T04,P005,Panaderia,36,10.3,0,0,0.0,0.0,48
2024-02-06,T05,P003,Lacteos,43,10.4,0,0,0.0,0.0,115
2024-02-07,T01,P001,Bebidas,58,15.9,0,0,0.0,0.0,99
2024-02-07,T01,P011,Bazar,8,15.9,0,0,0.0,0.0,13
2024-02-07,T02,P009,Carne,26,9.9,0,0,0.0,0.0,45
2024-02-07,T03,P007,Fruta,20,11.3,0,0,0.0,0.0,39
2024-02-07,T04,P005,Panaderia,34,11.7,9.3,0,0.0,0.0,93
2024-02-07,T05,P003,Lacteos,33,11.2,2.8,0,0.0,0.0,31
2024-02-08,T01,P001,Bebidas,59,15.2,0,0,0.0,0.0,159
2024-02-08,T01,P011,Bazar,12,15.2,0,0,0.0,0.0,17
2024-02-08,T02,P009,Carne,35,13.3,0,0,0.0,0.0,93
2024-02-08,T03,P007,Fruta,48,14.6,0,1,0.15,0.0,49
2024-02-08,T04,P005,Panaderia,39,7.4,0,0,0.0,0.0,61
2024-02-08,T05,P003,Lacteos,47,13.5,11.5,0,0.0,0.0,111
2024-02-09,T01,P001,Bebidas,69,12.4,0,0,0.0,0.0,115
2024-02-09,T01,P011,Bazar,9,12.4,0,0,0.0,0.0,19
2024-02-09,T02,P009,Carne,33,12.3,8.7,1,0.2,0.0,37
2024-02-09,T03,P007,Fruta,31,13.2,0,0,0.0,0.0,60
2024-02-09,T04,P005,Panaderia,40,9.0,0,0,0.0,0.0,57
2024-02-09,T05,P003,Lacteos,57,13.6,15.8,0,0.0,0.0,63
2024-02-10,T01,P001,Bebidas,56,16.3,0,0,0.0,0.0,137
2024-02-10,T01,P011,Bazar,13,16.3,0,0,0.0,0.0,25
2024-02-10,T02,P009,Carne,38,10.5,0,1,0.25,0.0,96
2024-02-10,T03,P007,Fruta,28,15.8,0,0,0.0,0.0,24
2024-02-10,T04,P005,Panaderia,40,8.3,0,0,0.0,0.0,49
2024-02-10,T05,P003,Lacteos,54,11.6,0,0,0.0,0.0,115
2024-02-11,T01,P001,Bebidas,44,15.1,0,0,0.0,0.0,63
2024-02-11,T01,P011,Bazar,10,15.1,0,0,0.0,0.0,20
2024-02-11,T02,P009,Carne,23,13.1,0,0,0.0,0.0,37
2024-02-11,T03,P007,Fruta,27,14.5,0,0,0.0,0.0,63
2024-02-11,T04,P005,Panaderia,28,12.4,0,0,0.0,0.0,40
2024-02-11,T05,P003,Lacteos,45,12.4,0,0,0.0,0.0,123
2024-02-12,T01,P001,Bebidas,60,13.5,0,0,0.0,0.0,77
2024-02-12,T01,P011,Bazar,11,13.5,0,0,0.0,0.0,26
2024-02-12,T02,P009,Carne,22,11.1,13.9,0,0.0,0.0,29
2024-02-12,T03,P007,Fruta,27,12.8,7.6,0,0.0,0.0,43
2024-02-12,T04,P005,Panaderia,40,6.8,0,0,0.0,0.0,50
2024-02-12,T05,P003,Lacteos,62,12.1,0,0,0.0,0.0,132
2024-02-13,T01,P001,Bebidas,54,12.7,0,0,0.0,0.0,116
2024-02-13,T01,P011,Bazar,10,12.7,0,0,0.0,0.0,19
2024-02-13,T02,P009,Carne,29,10.3,0,0,0.0,0.0,54
2024-02-13,T03,P007,Fruta,25,15.7,0,0,0.0,0.0,43
2024-02-13,T04,P005,Panaderia,44,7.0,0,0,0.0,0.0,87
2024-02-13,T05,P003,Lacteos,40,9.5,0,0,0.0,0.0,110
2024-02-14,T01,P001,Bebidas,53,17.1,0,0,0.0,0.0,125
2024-02-14,T01,P011,Bazar,11,17.1,0,0,0.0,0.0,10
2024-02-14,T02,P009,Carne,30,19.1,12.5,0,0.0,0.0,39
2024-02-14,T03,P007,Fruta,37,11.7,4.7,1,0.2,0.0,45
2024-02-14,T04,P005,Panaderia,34,10.6,0,0,0.0,0.0,76
2024-02-14,T05,P003,Lacteos,55,12.4,11.5,0,0.0,0.0,123
2024-02-15,T01,P001,Bebidas,47,15.3,0,0,0.0,0.0,50
2024-02-15,T01,P011,Bazar,14,15.3,0,0,0.0,0.0,17
2024-02-15,T02,P009,Carne,26,10.7,0,0,0.0,0.0,40
2024-02-15,T03,P007,Fruta,27,11.3,0,0,0.0,0.0,49
2024-02-15,T04,P005,Panaderia,39,4.9,16.8,0,0.0,0.0,83
2024-02-15,T05,P003,Lacteos,37,13.4,16.6,0,0.0,0.0,33
2024-02-16,T01,P001,Bebidas,65,14.4,0,0,0.0,0.0,99
2024-02-16,T01,P011,Bazar,10,14.4,0,0,0.0,0.0,15
2024-02-16,T02,P009,Carne,32,14.4,4.3,0,0.0,0.0,82
2024-02-16,T03,P007,Fruta,33,17.6,0,0,0.0,0.0,61
2024-02-16,T04,P005,Panaderia,41,9.2,0,0,0.0,0.0,101
2024-02-16,T05,P003,Lacteos,50,10.3,0,0,0.0,0.0,91
2024-02-17,T01,P001,Bebidas,67,9.2,0,0,0.0,0.0,132
2024-02-17,T01,P011,Bazar,11,9.2,0,0,0.0,0.0,16
2024-02-17,T02,P009,Carne,24,12.2,0,0,0.0,0.0,48
2024-02-17,T03,P007,Fruta,33,15.7,0,0,0.0,0.0,30
2024-02-17,T04,P005,Panaderia,47,8.8,0,0,0.0,0.0,64
2024-02-17,T05,P003,Lacteos,61,14.0,0,0,0.0,0.0,147
2024-02-18,T01,P001,Bebidas,61,12.7,0,0,0.0,0.0,67
2024-02-18,T01,P011,Bazar,9,12.7,0,0,0.0,0.0,21
2024-02-18,T02,P009,Carne,22,15.2,0,1,0.15,0.0,32
2024-02-18,T03,P007,Fruta,32,17.1,0,0,0.0,0.0,69
2024-02-18,T04,P005,Panaderia,34,13.7,0,0,0.0,0.0,54
2024-02-18,T05,P003,Lacteos,50,9.6,0,1,0.25,0.0,113
2024-02-19,T01,P001,Bebidas,61,15.3,0,0,0.0,0.0,154
2024-02-19,T01,P011,Bazar,11,15.3,0,0,0.0,0.0,24
2024-02-19,T02,P009,Carne,31,10.1,0,1,0.1,0.0,76
2024-02-19,T03,P007,Fruta,29,13.3,0,0,0.0,0.0,47
2024-02-19,T04,P005,Panaderia,31,8.7,0,0,0.0,0.0,65
2024-02-19,T05,P003,Lacteos,62,17.5,0,0,0.0,0.0,121
2024-02-20,T01,P001,Bebidas,58,12.7,0,0,0.0,0.0,125
2024-02-20,T01,P011,Bazar,11,12.7,0,0,0.0,0.0,30
2024-02-20,T02,P009,Carne,33,16.0,0,1,0.15,0.0,38
2024-02-20,T03,P007,Fruta,27,11.5,9.3,0,0.0,0.0,59
2024-02-20,T04,P005,Panaderia,32,12.7,0,0,0.0,0.0,44
2024-02-20,T05,P003,Lacteos,51,13.3,10.5,0,0.0,0.0,103
2024-02-21,T01,P001,Bebidas,59,15.9,0,0,0.0,0.0,51
2024-02-21,T01,P011,Bazar,9,15.9,0,0,0.0,0.0,23
2024-02-21,T02,P009,Carne,30,11.3,0,0,0.0,0.0,64
2024-02-21,T03,P007,Fruta,39,12.5,0,1,0.15,0.0,74
2024-02-21,T04,P005,Panaderia,38,8.5,0,0,0.0,0.0,101
2024-02-21,T05,P003,Lacteos,52,9.6,16.8,0,0.0,0.0,106
2024-02-22,T01,P001,Bebidas,73,14.5,0,0,0.0,0.0,202
2024-02-22,T01,P011,Bazar,8,14.5,0,0,0.0,0.0,14
2024-02-22,T02,P009,Carne,28,18.6,0,0,0.0,0.0,71
2024-02-22,T03,P007,Fruta,27,11.9,4.2,0,0.0,0.0,69
2024-02-22,T04,P005,Panaderia,33,7.6,0,0,0.0,0.0,48
2024-02-22,T05,P003,Lacteos,40,11.6,0,0,0.0,0.0,108
2024-02-23,T01,P001,Bebidas,75,11.5,12.4,0,0.0,0.0,196
2024-02-23,T01,P011,Bazar,15,11.5,12.4,0,0.0,0.0,26
2024-02-23,T02,P009,Carne,34,13.7,14.6,0,0.0,0.0,78
2024-02-23,T03,P007,Fruta,27,13.8,7.2,0,0.0,0.0,28
2024-02-23,T04,P005,Panaderia,54,7.1,0,1,0.15,0.0,117
2024-02-23,T05,P003,Lacteos,53,14.0,6.6,0,0.0,0.0,147
2024-02-24,T01,P001,Bebidas,74,15.7,0,0,0.0,0.0,124
2024-02-24,T01,P011,Bazar,15,15.7,0,1,0.1,0.0,38
2024-02-24,T02,P009,Carne,29,17.5,10.7,0,0.0,0.0,71
2024-02-24,T03,P007,Fruta,28,14.5,3.1,0,0.0,0.0,76
2024-02-24,T04,P005,Panaderia,41,8.8,0,0,0.0,0.0,61
2024-02-24,T05,P003,Lacteos,44,13.1,0,0,0.0,0.0,108
2024-02-25,T01,P001,Bebidas,60,16.4,0,0,0.0,0.0,151
2024-02-25,T01,P011,Bazar,9,16.4,0,0,0.0,0.0,8
2024-02-25,T02,P009,Carne,28,12.0,0,0,0.0,0.0,77
2024-02-25,T03,P007,Fruta,27,15.8,0,0,0.0,0.0,63
2024-02-25,T04,P005,Panaderia,39,7.0,0,1,0.25,0.0,55
2024-02-25,T05,P003,Lacteos,48,8.5,0,0,0.0,0.0,44
2024-02-26,T01,P001,Bebidas,60,14.5,0,0,0.0,0.0,67
2024-02-26,T01,P011,Bazar,8,14.5,0,0,0.0,0.0,8
2024-02-26,T02,P009,Carne,25,13.4,0,0,0.0,0.0,63
2024-02-26,T03,P007,Fruta,34,14.4,0,0,0.0,0.0,61
2024-02-26,T04,P005,Panaderia,32,9.0,5.3,0,0.0,0.0,60
2024-02-26,T05,P003,Lacteos,41,11.8,0,0,0.0,0.0,42
2024-02-27,T01,P001,Bebidas,55,14.0,0,0,0.0,0.0,103
2024-02-27,T01,P011,Bazar,11,14.0,0,0,0.0,0.0,21
2024-02-27,T02,P009,Carne,28,14.6,0,0,0.0,0.0,44
2024-02-27,T03,P007,Fruta,33,16.0,0,0,0.0,0.0,89
2024-02-27,T04,P005,Panaderia,36,10.0,0,0,0.0,0.0,72
2024-02-27,T05,P003,Lacteos,51,14.5,0,0,0.0,0.0,108
2024-02-28,T01,P001,Bebidas,46,13.7,0,0,0.0,0.0,106
2024-02-28,T01,P011,Bazar,9,13.7,0,0,0.0,0.0,24
2024-02-28,T02,P009,Carne,32,10.3,3.6,0,0.0,0.0,89
2024-02-28,T03,P007,Fruta,32,11.2,12.3,0,0.0,0.0,57
2024-02-28,T04,P005,Panaderia,53,8.9,0,0,0.0,0.0,102
2024-02-28,T05,P003,Lacteos,37,14.7,0,0,0.0,0.0,93
2024-02-29,T01,P001,Bebidas,63,14.8,0,0,0.0,0.0,109
2024-02-29,T01,P011,Bazar,10,14.8,0,0,0.0,0.0,23
2024-02-29,T02,P009,Carne,26,9.7,0,0,0.0,0.0,71
2024-02-29,T03,P007,Fruta,30,14.5,0,0,0.0,0.0,49
