fecha,tienda_id,tienda,ciudad,producto_id,producto,categoria,unidades_vendidas,precio_unitario,ingresos,stock_actual
2024-01-02,T04,SuperFresh Sierra,Granada,P008,Tomate ensalada kg,Verdura,28,2.3,64.4,33
2024-01-02,T04,SuperFresh Sierra,Granada,P009,Pechuga pollo kg,Carne,19,6.8,129.2,22
2024-01-02,T04,SuperFresh Sierra,Granada,P010,Pizza congelada,Congelados,16,3.1,49.6,14
2024-01-02,T04,SuperFresh Sierra,Granada,P011,Paraguas plegable,Bazar,8,6.5,52.0,22
2024-01-02,T04,SuperFresh Sierra,Granada,P012,Turron chocolate,Dulces,10,2.95,29.5,25
2024-01-02,T05,SuperFresh Sur,Cordoba,P001,Agua mineral 1.5L,Bebidas,40,0.75,30.0,41
2024-01-02,T05,SuperFresh Sur,Cordoba,P002,Refresco cola 2L,Bebidas,37,1.65,61.05,45
2024-01-02,T05,SuperFresh Sur,Cordoba,P003,Leche entera 1L,Lacteos,53,1.05,55.65,103
2024-01-02,T05,SuperFresh Sur,Cordoba,P004,Yogur natural pack,Lacteos,40,2.2,74.8,61
2024-01-02,T05,SuperFresh Sur,Cordoba,P005,Pan de molde,Panaderia,47,1.35,63.45,86
2024-01-02,T05,SuperFresh Sur,Cordoba,P006,Croissants bolsa,Panaderia,26,2.1,54.6,32
2024-01-02,T05,SuperFresh Sur,Cordoba,P007,Manzana golden kg,Fruta,30,2.05,61.5,39
2024-01-02,T05,SuperFresh Sur,Cordoba,P008,Tomate ensalada kg,Verdura,26,2.3,59.8,66
2024-01-02,T05,SuperFresh Sur,Cordoba,P009,Pechuga pollo kg,Carne,23,6.8,156.4,50
2024-01-02,T05,SuperFresh Sur,Cordoba,P010,Pizza congelada,Congelados,18,3.1,55.8,21
2024-01-02,T05,SuperFresh Sur,Cordoba,P011,Paraguas plegable,Bazar,9,6.5,58.5,14
2024-01-02,T05,SuperFresh Sur,Cordoba,P012,Turron chocolate,Dulces,11,2.95,32.45,19
2024-01-03,T01,SuperFresh Centro,Malaga,P001,Agua mineral 1.5L,Bebidas,52,0.75,39.0,124
2024-01-03,T01,SuperFresh Centro,Malaga,P002,Refresco cola 2L,Bebidas,63,1.65,77.96,105
2024-01-03,T01,SuperFresh Centro,Malaga,P003,Leche entera 1L,Lacteos,61,1.05,64.05,72
2024-01-03,T01,SuperFresh Centro,Malaga,P004,Yogur natural pack,Lacteos,35,2.2,77.0,85
2024-01-03,T01,SuperFresh Centro,Malaga,P005,Pan de molde,Panaderia,64,1.35,69.12,173
2024-01-03,T01,SuperFresh Centro,Malaga,P006,Croissants bolsa,Panaderia,28,2.1,58.8,58
2024-01-03,T01,SuperFresh Centro,Malaga,P007,Manzana golden kg,Fruta,42,2.05,86.1,73
2024-01-03,T01,SuperFresh Centro,Malaga,P008,Tomate ensalada kg,Verdura,40,2.3,92.0,54
2024-01-03,T01,SuperFresh Centro,Malaga,P009,Pechuga pollo kg,Carne,24,6.8,163.2,47
2024-01-03,T01,SuperFresh Centro,Malaga,P010,Pizza congelada,Congelados,25,3.1,65.88,51
2024-01-03,T01,SuperFresh Centro,Malaga,P011,Paraguas plegable,Bazar,9,6.5,58.5,22
2024-01-03,T01,SuperFresh Centro,Malaga,P012,Turron chocolate,Dulces,11,2.95,32.45,11
2024-01-03,T02,SuperFresh Norte,Sevilla,P001,Agua mineral 1.5L,Bebidas,64,0.75,48.0,139
2024-01-03,T02,SuperFresh Norte,Sevilla,P002,Refresco cola 2L,Bebidas,74,1.65,91.57,119
2024-01-03,T02,SuperFresh Norte,Sevilla,P003,Leche entera 1L,Lacteos,48,1.05,50.4,117
2024-01-03,T02,SuperFresh Norte,Sevilla,P004,Yogur natural pack,Lacteos,30,2.2,66.0,53
2024-01-03,T02,SuperFresh Norte,Sevilla,P005,Pan de molde,Panaderia,55,1.35,59.4,143
2024-01-03,T02,SuperFresh Norte,Sevilla,P006,Croissants bolsa,Panaderia,29,2.1,60.9,37
2024-01-03,T02,SuperFresh Norte,Sevilla,P007,Manzana golden kg,Fruta,31,2.05,63.55,64
2024-01-03,T02,SuperFresh Norte,Sevilla,P008,Tomate ensalada kg,Verdura,38,2.3,87.4,62
2024-01-03,T02,SuperFresh Norte,Sevilla,P009,Pechuga pollo kg,Carne,29,6.8,197.2,29
2024-01-03,T02,SuperFresh Norte,Sevilla,P010,Pizza congelada,Congelados,15,3.1,39.52,19
2024-01-03,T02,SuperFresh Norte,Sevilla,P011,Paraguas plegable,Bazar,10,6.5,65.0,16
2024-01-03,T02,SuperFresh Norte,Sevilla,P012,Turron chocolate,Dulces,11,2.95,32.45,15
2024-01-03,T03,SuperFresh Costa,Almeria,P001,Agua mineral 1.5L,Bebidas,45,0.75,33.75,76
2024-01-03,T03,SuperFresh Costa,Almeria,P002,Refresco cola 2L,Bebidas,53,1.65,65.59,123
2024-01-03,T03,SuperFresh Costa,Almeria,P003,Leche entera 1L,Lacteos,43,1.05,45.15,72
2024-01-03,T03,SuperFresh Costa,Almeria,P004,Yogur natural pack,Lacteos,27,2.2,59.4,33
2024-01-03,T03,SuperFresh Costa,Almeria,P005,Pan de molde,Panaderia,50,1.35,54.0,98
2024-01-03,T03,SuperFresh Costa,Almeria,P006,Croissants bolsa,Panaderia,19,2.1,39.9,20
2024-01-03,T03,SuperFresh Costa,Almeria,P007,Manzana golden kg,Fruta,20,2.05,41.0,41
2024-01-03,T03,SuperFresh Costa,Almeria,P008,Tomate ensalada kg,Verdura,27,2.3,62.1,40
2024-01-03,T03,SuperFresh Costa,Almeria,P009,Pechuga pollo kg,Carne,19,6.8,129.2,25
2024-01-03,T03,SuperFresh Costa,Almeria,P010,Pizza congelada,Congelados,20,3.1,52.7,44
2024-01-03,T03,SuperFresh Costa,Almeria,P011,Paraguas plegable,Bazar,10,6.5,65.0,28
2024-01-03,T03,SuperFresh Costa,Almeria,P012,Turron chocolate,Dulces,8,2.95,23.6,11
2024-01-03,T04,SuperFresh Sierra,Granada,P001,Agua mineral 1.5L,Bebidas,46,0.75,34.5,68
2024-01-03,T04,SuperFresh Sierra,Granada,P002,Refresco cola 2L,Bebidas,53,1.65,65.59,134
2024-01-03,T04,SuperFresh Sierra,Granada,P003,Leche entera 1L,Lacteos,45,1.05,47.25,99
2024-01-03,T04,SuperFresh Sierra,Granada,P004,Yogur natural pack,Lacteos,24,2.2,52.8,49
2024-01-03,T04,SuperFresh Sierra,Granada,P005,Pan de molde,Panaderia,49,1.35,52.92,130
2024-01-03,T04,SuperFresh Sierra,Granada,P006,Croissants bolsa,Panaderia,21,2.1,44.1,44
2024-01-03,T04,SuperFresh Sierra,Granada,P007,Manzana golden kg,Fruta,29,2.05,59.45,47
2024-01-03,T04,SuperFresh Sierra,Granada,P008,Tomate ensalada kg,Verdura,23,2.3,52.9,30
2024-01-03,T04,SuperFresh Sierra,Granada,P009,Pechuga pollo kg,Carne,26,6.8,176.8,51
2024-01-03,T04,SuperFresh Sierra,Granada,P010,Pizza congelada,Congelados,20,3.1,52.7,45
2024-01-03,T04,SuperFresh Sierra,Granada,P011,Paraguas plegable,Bazar,8,6.5,52.0,9
2024-01-03,T04,SuperFresh Sierra,Granada,P012,Turron chocolate,Dulces,8,2.95,23.6,10
2024-01-03,T05,SuperFresh Sur,Cordoba,P001,Agua mineral 1.5L,Bebidas,47,0.75,35.25,95
2024-01-03,T05,SuperFresh Sur,Cordoba,P002,Refresco cola 2L,Bebidas,57,1.65,70.54,121
2024-01-03,T05,SuperFresh Sur,Cordoba,P003,Leche entera 1L,Lacteos,41,1.05,43.05,67
2024-01-03,T05,SuperFresh Sur,Cordoba,P004,Yogur natural pack,Lacteos,28,2.2,61.6,75
2024-01-03,T05,SuperFresh Sur,Cordoba,P005,Pan de molde,Panaderia,53,1.35,57.24,51
2024-01-03,T05,SuperFresh Sur,Cordoba,P006,Croissants bolsa,Panaderia,18,2.1,37.8,38
2024-01-03,T05,SuperFresh Sur,Cordoba,P007,Manzana golden kg,Fruta,34,2.05,69.7,74
2024-01-03,T05,SuperFresh Sur,Cordoba,P008,Tomate ensalada kg,Verdura,31,2.3,71.3,56
2024-01-03,T05,SuperFresh Sur,Cordoba,P009,Pechuga pollo kg,Carne,26,6.8,176.8,32
2024-01-03,T05,SuperFresh Sur,Cordoba,P010,Pizza congelada,Congelados,24,3.1,63.24,52
2024-01-03,T05,SuperFresh Sur,Cordoba,P011,Paraguas plegable,Bazar,9,6.5,58.5,21
2024-01-03,T05,SuperFresh Sur,Cordoba,P012,Turron chocolate,Dulces,11,2.95,32.45,15
2024-01-04,T01,SuperFresh Centro,Malaga,P001,Agua mineral 1.5L,Bebidas,41,0.75,30.75,83
2024-01-04,T01,SuperFresh Centro,Malaga,P002,Refresco cola 2L,Bebidas,47,1.65,77.55,123
2024-01-04,T01,SuperFresh Centro,Malaga,P003,Leche entera 1L,Lacteos,37,1.05,38.85,31
2024-01-04,T01,SuperFresh Centro,Malaga,P004,Yogur natural pack,Lacteos,38,2.2,83.6,51
2024-01-04,T01,SuperFresh Centro,Malaga,P005,Pan de molde,Panaderia,42,1.35,56.7,51
2024-01-04,T01,SuperFresh Centro,Malaga,P006,Croissants bolsa,Panaderia,29,2.1,60.9,40
2024-01-04,T01,SuperFresh Centro,Malaga,P007,Manzana golden kg,Fruta,36,2.05,73.8,85
2024-01-04,T01,SuperFresh Centro,Malaga,P008,Tomate ensalada kg,Verdura,30,2.3,69.0,70
2024-01-04,T01,SuperFresh Centro,Malaga,P009,Pechuga pollo kg,Carne,27,6.8,183.6,43
2024-01-04,T01,SuperFresh Centro,Malaga,P010,Pizza congelada,Congelados,25,3.1,65.88,27
2024-01-04,T01,SuperFresh Centro,Malaga,P011,Paraguas plegable,Bazar,11,6.5,71.5,22
2024-01-04,T01,SuperFresh Centro,Malaga,P012,Turron chocolate,Dulces,13,2.95,38.35,32
2024-01-04,T02,SuperFresh Norte,Sevilla,P001,Agua mineral 1.5L,Bebidas,50,0.75,37.5,70
2024-01-04,T02,SuperFresh Norte,Sevilla,P002,Refresco cola 2L,Bebidas,38,1.65,62.7,92
2024-01-04,T02,SuperFresh Norte,Sevilla,P003,Leche entera 1L,Lacteos,44,1.05,46.2,88
2024-01-04,T02,SuperFresh Norte,Sevilla,P004,Yogur natural pack,Lacteos,25,2.2,55.0,49
2024-01-04,T02,SuperFresh Norte,Sevilla,P005,Pan de molde,Panaderia,44,1.35,59.4,106
2024-01-04,T02,SuperFresh Norte,Sevilla,P006,Croissants bolsa,Panaderia,24,2.1,50.4,30
2024-01-04,T02,SuperFresh Norte,Sevilla,P007,Manzana golden kg,Fruta,29,2.05,59.45,71
2024-01-04,T02,SuperFresh Norte,Sevilla,P008,Tomate ensalada kg,Verdura,30,2.3,69.0,29
2024-01-04,T02,SuperFresh Norte,Sevilla,P009,Pechuga pollo kg,Carne,32,6.8,217.6,68
2024-01-04,T02,SuperFresh Norte,Sevilla,P010,Pizza congelada,Congelados,26,3.1,68.51,68
2024-01-04,T02,SuperFresh Norte,Sevilla,P011,Paraguas plegable,Bazar,10,6.5,65.0,22
2024-01-04,T02,SuperFresh Norte,Sevilla,P012,Turron chocolate,Dulces,11,2.95,32.45,18
2024-01-04,T03,SuperFresh Costa,Almeria,P001,Agua mineral 1.5L,Bebidas,47,0.75,35.25,131
2024-01-04,T03,SuperFresh Costa,Almeria,P002,Refresco cola 2L,Bebidas,40,1.65,66.0,76
2024-01-04,T03,SuperFresh Costa,Almeria,P003,Leche entera 1L,Lacteos,45,1.05,47.25,56
2024-01-04,T03,SuperFresh Costa,Almeria,P004,Yogur natural pack,Lacteos,28,2.2,61.6,28
2024-01-04,T03,SuperFresh Costa,Almeria,P005,Pan de molde,Panaderia,40,1.35,54.0,63
2024-01-04,T03,SuperFresh Costa,Almeria,P006,Croissants bolsa,Panaderia,25,2.1,52.5,49
2024-01-04,T03,SuperFresh Costa,Almeria,P007,Manzana golden kg,Fruta,34,2.05,69.7,35
2024-01-04,T03,SuperFresh Costa,Almeria,P008,Tomate ensalada kg,Verdura,27,2.3,62.1,54
2024-01-04,T03,SuperFresh Costa,Almeria,P009,Pechuga pollo kg,Carne,21,6.8,142.8,48
2024-01-04,T03,SuperFresh Costa,Almeria,P010,Pizza congelada,Congelados,26,3.1,68.51,31
2024-01-04,T03,SuperFresh Costa,Almeria,P011,Paraguas plegable,Bazar,8,6.5,52.0,10
2024-01-04,T03,SuperFresh Costa,Almeria,P012,Turron chocolate,Dulces,11,2.95,32.45,29
2024-01-04,T04,SuperFresh Sierra,Granada,P001,Agua mineral 1.5L,Bebidas,45,0.75,33.75,74
2024-01-04,T04,SuperFresh Sierra,Granada,P002,Refresco cola 2L,Bebidas,24,1.65,39.6,65
2024-01-04,T04,SuperFresh Sierra,Granada,P003,Leche entera 1L,Lacteos,42,1.05,44.1,57
2024-01-04,T04,SuperFresh Sierra,Granada,P004,Yogur natural pack,Lacteos,27,2.2,59.4,66
2024-01-04,T04,SuperFresh Sierra,Granada,P005,Pan de molde,Panaderia,32,1.35,43.2,61
2024-01-04,T04,SuperFresh Sierra,Granada,P006,Croissants bolsa,Panaderia,21,2.1,44.1,19
2024-01-04,T04,SuperFresh Sierra,Granada,P007,Manzana golden kg,Fruta,25,2.05,51.25,24
2024-01-04,T04,SuperFresh Sierra,Granada,P008,Tomate ensalada kg,Verdura,21,2.3,48.3,18
2024-01-04,T04,SuperFresh Sierra,Granada,P009,Pechuga pollo kg,Carne,23,6.8,156.4,64
2024-01-04,T04,SuperFresh Sierra,Granada,P010,Pizza congelada,Congelados,22,3.1,57.97,35
2024-01-04,T04,SuperFresh Sierra,Granada,P011,Paraguas plegable,Bazar,7,6.5,45.5,19
2024-01-04,T04,SuperFresh Sierra,Granada,P012,Turron chocolate,Dulces,8,2.95,23.6,17
2024-01-04,T05,SuperFresh Sur,Cordoba,P001,Agua mineral 1.5L,Bebidas,46,0.75,34.5,44
2024-01-04,T05,SuperFresh Sur,Cordoba,P002,Refresco cola 2L,Bebidas,45,1.65,74.25,95
2024-01-04,T05,SuperFresh Sur,Cordoba,P003,Leche entera 1L,Lacteos,48,1.05,50.4,127
2024-01-04,T05,SuperFresh Sur,Cordoba,P004,Yogur natural pack,Lacteos,30,2.2,66.0,56
2024-01-04,T05,SuperFresh Sur,Cordoba,P005,Pan de molde,Panaderia,39,1.35,52.65,96
2024-01-04,T05,SuperFresh Sur,Cordoba,P006,Croissants bolsa,Panaderia,21,2.1,44.1,22
2024-01-04,T05,SuperFresh Sur,Cordoba,P007,Manzana golden kg,Fruta,32,2.05,65.6,84
2024-01-04,T05,SuperFresh Sur,Cordoba,P008,Tomate ensalada kg,Verdura,35,2.3,80.5,33
2024-01-04,T05,SuperFresh Sur,Cordoba,P009,Pechuga pollo kg,Carne,24,6.8,163.2,49
2024-01-04,T05,SuperFresh Sur,Cordoba,P010,Pizza congelada,Congelados,25,3.1,65.88,26
2024-01-04,T05,SuperFresh Sur,Cordoba,P011,Paraguas plegable,Bazar,9,6.5,58.5,22
2024-01-04,T05,SuperFresh Sur,Cordoba,P012,Turron chocolate,Dulces,12,2.95,35.4,27
2024-01-05,T01,SuperFresh Centro,Malaga,P001,Agua mineral 1.5L,Bebidas,74,0.75,55.5,108
2024-01-05,T01,SuperFresh Centro,Malaga,P002,Refresco cola 2L,Bebidas,34,1.65,56.1,95
2024-01-05,T01,SuperFresh Centro,Malaga,P003,Leche entera 1L,Lacteos,53,1.05,55.65,65
2024-01-05,T01,SuperFresh Centro,Malaga,P004,Yogur natural pack,Lacteos,39,2.2,85.8,85
2024-01-05,T01,SuperFresh Centro,Malaga,P005,Pan de molde,Panaderia,57,1.35,76.95,110
2024-01-05,T01,SuperFresh Centro,Malaga,P006,Croissants bolsa,Panaderia,29,2.1,60.9,78
2024-01-05,T01,SuperFresh Centro,Malaga,P007,Manzana golden kg,Fruta,33,2.05,67.65,65
2024-01-05,T01,SuperFresh Centro,Malaga,P008,Tomate ensalada kg,Verdura,38,2.3,87.4,35
2024-01-05,T01,SuperFresh Centro,Malaga,P009,Pechuga pollo kg,Carne,48,6.8,261.12,69
2024-01-05,T01,SuperFresh Centro,Malaga,P010,Pizza congelada,Congelados,17,3.1,52.7,44
2024-01-05,T01,SuperFresh Centro,Malaga,P011,Paraguas plegable,Bazar,15,6.5,97.5,36
